Name,EndsVowel,EndsA,LenGt5,StartsVowel,HasY,IsFemale
Pincus,0,0,1,0,0,0
Jay,0,0,0,0,1,0
Tomasina,1,1,1,0,0,1
Whitney,0,0,1,0,1,0
Robenia,1,1,1,0,0,1
Maggi,1,0,0,0,0,1
Jacki,1,0,0,0,0,1
Aretha,1,1,1,1,0,1
Maddalena,1,1,1,0,0,1
Minta,1,1,0,0,0,1
Rory,0,0,0,0,1,0
Rosalia,1,1,1,0,0,1
Dyana,1,1,0,0,1,1
Vassily,0,0,1,0,1,0
Sayer,0,0,0,0,1,0
Willabella,1,1,1,0,0,1
Josephus,0,0,1,0,0,0
Moselle,1,0,1,0,0,1
Benetta,1,1,1,0,0,1
Oona,1,1,0,1,0,1
Brena,1,1,0,0,0,1
Haleigh,0,0,1,0,0,0
Cherie,1,0,1,0,0,1
Percival,0,0,1,0,0,0
Pammi,1,0,0,0,0,1
Sella,1,1,0,0,0,1
Patrizia,1,1,1,0,0,1
Gav,0,0,0,0,0,0
Kermie,1,0,1,0,0,0
Spence,1,0,1,0,0,0
Cecilla,1,1,1,0,0,1
Tudor,0,0,0,0,0,0
Witold,0,0,1,0,0,0
Anastassia,1,1,1,1,0,1
Tessa,1,1,0,0,0,1
Orlando,0,0,1,1,0,0
Hakim,0,0,0,0,0,0
Berty,0,0,0,0,1,1
Caterina,1,1,1,0,0,1
Thomasina,1,1,1,0,0,1
Fania,1,1,0,0,0,1
Eirena,1,1,1,1,0,1
Anatola,1,1,1,1,0,1
Mohamed,0,0,1,0,0,0
Barbee,1,0,1,0,0,1
Sherwin,0,0,1,0,0,0
Cecile,1,0,1,0,0,1
Shaughn,0,0,1,0,0,0
Dotty,0,0,0,0,1,1
Julia,1,1,0,0,0,1
Zane,0,0,0,0,0,0
Petronilla,1,1,1,0,0,1
Wynny,0,0,0,0,1,1
Emanuela,1,1,1,1,0,1
Jannel,0,0,1,0,0,1
Ramsey,0,0,1,0,1,0
Carol-Jean,0,0,1,0,0,1
Gertrude,1,0,1,0,0,1
Clara,1,1,0,0,0,1
Carlene,1,0,1,0,0,1
Benito,0,0,1,0,0,0
Spud,0,0,0,0,0,0
Felicity,0,0,1,0,1,1
Althea,1,1,1,1,0,1
Emilie,1,0,1,1,0,1
Janifer,0,0,1,0,0,1
Ashton,0,0,1,1,0,0
Karia,1,1,0,0,0,1
Roger,0,0,0,0,0,0
Dulsea,1,1,1,0,0,1
Alene,1,0,0,1,0,1
Dorolisa,1,1,1,0,0,1
Bishop,0,0,1,0,0,0
Skyler,0,0,1,0,1,0
Tod,0,0,0,0,0,0
Christen,0,0,1,0,0,1
Sarajane,1,0,1,0,0,1
Francine,1,0,1,0,0,1
Riki,1,0,0,0,0,1
Alexandra,1,1,1,1,0,1
Herbert,0,0,1,0,0,0
Josiah,0,0,1,0,0,0
Antonius,0,0,1,1,0,0
Heida,1,1,0,0,0,1
Otto,0,0,0,1,0,0
Kellsie,1,0,1,0,0,1
Tedmund,0,0,1,0,0,0
Curtis,0,0,1,0,0,0
Eleonora,1,1,1,1,0,1
Georgy,0,0,1,0,1,0
Kenny,0,0,0,0,1,0
Rina,1,1,0,0,0,1
Candide,1,0,1,0,0,1
Shep,0,0,0,0,0,0
Ivor,0,0,0,1,0,0
Yancy,0,0,0,1,1,0
Jef,0,0,0,0,0,0
Leonid,0,0,1,0,0,0
Gasper,0,0,1,0,0,0
Verine,1,0,1,0,0,1
Richardo,0,0,1,0,0,0
Pepi,1,0,0,0,0,1
Valli,1,0,0,0,0,1
Deeann,0,0,1,0,0,1
Ross,0,0,0,0,0,0
Jackson,0,0,1,0,0,0
Inez,0,0,0,1,0,1
Charlene,1,0,1,0,0,1
Anna,1,1,0,1,0,1
Rici,1,0,0,0,0,1
Marji,1,0,0,0,0,1
Clarisa,1,1,1,0,0,1
Muriel,0,0,1,0,0,1
Dotti,1,0,0,0,0,1
Dionne,1,0,1,0,0,1
Emlynn,0,0,1,1,1,1
Hana,1,1,0,0,0,1
Patrice,1,0,1,0,0,1
Elspeth,0,0,1,1,0,1
Saunders,0,0,1,0,0,0
Benedetta,1,1,1,0,0,1
Lemmy,0,0,0,0,1,0
Pierson,0,0,1,0,0,0
Anjanette,1,0,1,1,0,1
Lincoln,0,0,1,0,0,0
Dafna,1,1,0,0,0,1
Beauregard,0,0,1,0,0,0
Shaw,0,0,0,0,0,0
Kraig,0,0,0,0,0,0
Shay,0,0,0,0,1,0
Adriana,1,1,1,1,0,1
Jemie,1,0,0,0,0,1
Michele,1,0,1,0,0,1
Demosthenis,0,0,1,0,0,0
Maria,1,1,0,0,0,1
Bogart,0,0,1,0,0,0
Solomon,0,0,1,0,0,0
Francis,0,0,1,0,0,1
Tiffy,0,0,0,0,1,1
Sharity,0,0,1,0,1,1
Celie,1,0,0,0,0,1
Everett,0,0,1,1,0,0
Dulcie,1,0,1,0,0,1
Sophey,0,0,1,0,1,1
Cabrina,1,1,1,0,0,1
Webster,0,0,1,0,0,0
Lucine,1,0,1,0,0,1
Damien,0,0,1,0,0,0
Dasha,1,1,0,0,0,1
Shaine,1,0,1,0,0,1
Dani,1,0,0,0,0,0
Merlin,0,0,1,0,0,0
Gale,0,0,0,0,0,1
Madison,0,0,1,0,0,0
Cornelius,0,0,1,0,0,0
Lin,0,0,0,0,0,0
Cletus,0,0,1,0,0,0
Ardine,1,0,1,1,0,1
Pooh,0,0,0,0,0,0
Noelani,1,0,1,0,0,1
Zechariah,0,0,1,0,0,0
Deny,0,0,0,0,1,1
Darryl,0,0,1,0,1,1
Milo,0,0,0,0,0,0
Carlin,0,0,1,0,0,1
Alphonse,1,0,1,1,0,0
Tami,1,0,0,0,0,1
Sherlocke,1,0,1,0,0,0
Jeremy,0,0,1,0,1,0
Toddie,1,0,1,0,0,0
Elliott,0,0,1,1,0,0
Friedrich,0,0,1,0,0,0
Amery,0,0,0,1,1,0
Willy,0,0,0,0,1,1
Augusta,1,1,1,1,0,1
Agnes,0,0,0,1,0,1
Antonin,0,0,1,1,0,0
Gerald,0,0,1,0,0,0
Husein,0,0,1,0,0,0
Laurette,1,0,1,0,0,1
Gerome,1,0,1,0,0,0
Timothea,1,1,1,0,0,1
Shayna,1,1,1,0,1,1
Ivette,1,0,1,1,0,1
Kelly,0,0,0,0,1,0
Laurence,1,0,1,0,0,0
Marthena,1,1,1,0,0,1
Erwin,0,0,0,1,0,0
Allyson,0,0,1,1,1,1
Courtney,0,0,1,0,1,0
Dolores,0,0,1,0,0,1
Hatti,1,0,0,0,0,1
Susana,1,1,1,0,0,1
Mattheus,0,0,1,0,0,0
Reine,1,0,0,0,0,1
Randal,0,0,1,0,0,0
Claudius,0,0,1,0,0,0
Danita,1,1,1,0,0,1
Alyce,1,0,0,1,1,1
Lynde,1,0,0,0,1,1
Dwaine,1,0,1,0,0,0
Dave,0,0,0,0,0,0
Meaghan,0,0,1,0,0,1
Dolley,0,0,1,0,1,1
Wilt,0,0,0,0,0,0
Hari,1,0,0,0,0,0
Sibilla,1,1,1,0,0,1
Juline,1,0,1,0,0,1
Franz,0,0,0,0,0,0
Hayden,0,0,1,0,1,0
Juliet,0,0,1,0,0,1
Fulvia,1,1,1,0,0,1
Cyndi,1,0,0,0,1,1
Uli,1,0,0,1,0,0
Clotilda,1,1,1,0,0,1
Willow,0,0,1,0,0,1
Gusti,1,0,0,0,0,1
Hasty,0,0,0,0,1,0
Dru,0,0,0,0,0,0
Aleecia,1,1,1,1,0,1
Merrick,0,0,1,0,0,0
Andria,1,1,1,1,0,1
Mohammad,0,0,1,0,0,0
Peggy,0,0,0,0,1,1
Salvatore,1,0,1,0,0,0
Trisha,1,1,1,0,0,1
Louisette,1,0,1,0,0,1
Jorie,1,0,0,0,0,1
Geoffry,0,0,1,0,1,0
Hinda,1,1,0,0,0,1
Heidie,1,0,1,0,0,1
Katharina,1,1,1,0,0,1
Marieann,0,0,1,0,0,1
Laurel,0,0,1,0,0,1
Florella,1,1,1,0,0,1
Charis,0,0,1,0,0,1
Kelila,1,1,1,0,0,1
Sumner,0,0,1,0,0,0
Xenos,0,0,0,0,0,0
Orelee,1,0,1,1,0,1
Ronalda,1,1,1,0,0,1
Hedvig,0,0,1,0,0,1
Barthel,0,0,1,0,0,0
Wandie,1,0,1,0,0,1
Evangeline,1,0,1,1,0,1
Jaleh,0,0,0,0,0,1
Izzy,0,0,0,1,1,0
Janus,0,0,0,0,0,0
Nessa,1,1,0,0,0,1
Valentina,1,1,1,0,0,1
Gracie,1,0,1,0,0,1
Davita,1,1,1,0,0,1
Byron,0,0,0,0,1,0
Janaya,1,1,1,0,1,1
Marris,0,0,1,0,0,1
Emelita,1,1,1,1,0,1
Calvin,0,0,1,0,0,0
Loren,0,0,0,0,0,1
Sheila,1,1,1,0,0,1
Jemmy,0,0,0,0,1,1
Woody,0,0,0,0,1,0
Bernardo,0,0,1,0,0,0
Heddie,1,0,1,0,0,1
Florette,1,0,1,0,0,1
Parrnell,0,0,1,0,0,0
JoAnn,0,0,0,0,0,1
Zacharias,0,0,1,0,0,0
Aline,1,0,0,1,0,1
Patrice,1,0,1,0,0,0
Anthe,1,0,0,1,0,1
Daveta,1,1,1,0,0,1
Conroy,0,0,1,0,1,0
Maryjane,1,0,1,0,1,1
Marylinda,1,1,1,0,1,1
Michele,1,0,1,0,0,0
Lorie,1,0,0,0,0,1
Myrah,0,0,0,0,1,1
Francisca,1,1,1,0,0,1
Catlin,0,0,1,0,0,1
Gavin,0,0,0,0,0,0
Leigh,0,0,0,0,0,0
Harriot,0,0,1,0,0,1
Slade,1,0,0,0,0,0
Sean,0,0,0,0,0,0
Corliss,0,0,1,0,0,1
Demetre,1,0,1,0,0,0
Jourdan,0,0,1,0,0,1
Leonerd,0,0,1,0,0,0
Ainsley,0,0,1,1,1,1
Cassondra,1,1,1,0,0,1
Audie,1,0,0,1,0,1
Friedrick,0,0,1,0,0,0
Alberto,0,0,1,1,0,0
Meridel,0,0,1,0,0,1
Bernelle,1,0,1,0,0,1
Helen-Elizabeth,0,0,1,0,0,1
Edward,0,0,1,1,0,0
Beverlee,1,0,1,0,0,1
Chelton,0,0,1,0,0,0
Samara,1,1,1,0,0,1
Selby,0,0,0,0,1,0
Mischa,1,1,1,0,0,0
Hollie,1,0,1,0,0,1
Giuseppe,1,0,1,0,0,0
Shanie,1,0,1,0,0,1
Cora,1,1,0,0,0,1
Neville,1,0,1,0,0,0
Anet,0,0,0,1,0,1
Mallory,0,0,1,0,1,1
Simeon,0,0,1,0,0,0
Darcee,1,0,1,0,0,1
Nola,1,1,0,0,0,1
Linnell,0,0,1,0,0,1
Susann,0,0,1,0,0,1
Allene,1,0,1,1,0,1
Letty,0,0,0,0,1,1
Ruella,1,1,1,0,0,1
Saraann,0,0,1,0,0,1
Udale,1,0,0,1,0,0
Emmye,1,0,0,1,1,1
Kennedy,0,0,1,0,1,0
Dehlia,1,1,1,0,0,1
Angela,1,1,1,1,0,1
Isabeau,0,0,1,1,0,1
Desiri,1,0,1,0,0,1
Lockwood,0,0,1,0,0,0
Janos,0,0,0,0,0,0
Erminie,1,0,1,1,0,1
Henryetta,1,1,1,0,1,1
Koren,0,0,0,0,0,1
Cecilia,1,1,1,0,0,1
Nichole,1,0,1,0,0,1
Charmane,1,0,1,0,0,1
Worden,0,0,1,0,0,0
Johanna,1,1,1,0,0,1
Florance,1,0,1,0,0,1
Jemimah,0,0,1,0,0,1
Taber,0,0,0,0,0,0
Emmy,0,0,0,1,1,0
Conrad,0,0,1,0,0,0
Niccolo,0,0,1,0,0,0
Carissa,1,1,1,0,0,1
Ambrosius,0,0,1,1,0,0
Keeley,0,0,1,0,1,1
Sidonnie,1,0,1,0,0,1
Sheilakathryn,0,0,1,0,1,1
Wallie,1,0,1,0,0,0
Granville,1,0,1,0,0,0
Florrie,1,0,1,0,0,1
Mickey,0,0,1,0,1,0
Briteny,0,0,1,0,1,1
Andrei,1,0,1,1,0,1
Sig,0,0,0,0,0,0
Roda,1,1,0,0,0,1
Wilden,0,0,1,0,0,0
Cicely,0,0,1,0,1,1
Cammi,1,0,0,0,0,1
Paco,0,0,0,0,0,0
Tymon,0,0,0,0,1,0
Prisca,1,1,1,0,0,1
Simone,1,0,1,0,0,0
Rosanne,1,0,1,0,0,1
Madlen,0,0,1,0,0,1
Hugh,0,0,0,0,0,0
Philly,0,0,1,0,1,1
Tore,0,0,0,0,0,0
Doria,1,1,0,0,0,1
Pansie,1,0,1,0,0,1
Phillie,1,0,1,0,0,1
Jerrold,0,0,1,0,0,0
Rosita,1,1,1,0,0,1
Voltaire,1,0,1,0,0,0
Ruthe,1,0,0,0,0,1
Luciano,0,0,1,0,0,0
Albertina,1,1,1,1,0,1
Avril,0,0,0,1,0,1
Hew,0,0,0,0,0,0
Chevalier,0,0,1,0,0,0
Deirdre,1,0,1,0,0,1
Hershel,0,0,1,0,0,0
Jeralee,1,0,1,0,0,1
Jessica,1,1,1,0,0,1
Tally,0,0,0,0,1,1
Whitby,0,0,1,0,1,0
Georges,0,0,1,0,0,0
Diane,1,0,0,0,0,1
Midge,1,0,0,0,0,1
Husain,0,0,1,0,0,0
Brewer,0,0,1,0,0,0
Kaari,1,0,0,0,0,1
Norine,1,0,1,0,0,1
Wyn,0,0,0,0,1,0
Trip,0,0,0,0,0,0
Shirleen,0,0,1,0,0,1
Rebekah,0,0,1,0,0,1
Washington,0,0,1,0,0,0
Seka,1,1,0,0,0,1
Annalisa,1,1,1,1,0,1
Kimberli,1,0,1,0,0,1
Klarrisa,1,1,1,0,0,1
Marv,0,0,0,0,0,0
Florida,1,1,1,0,0,1
Hilton,0,0,1,0,0,0
Layton,0,0,1,0,1,0
Willem,0,0,1,0,0,0
Dorena,1,1,1,0,0,1
Pattie,1,0,1,0,0,1
Rahel,0,0,0,0,0,1
Montgomery,0,0,1,0,1,0
Clyde,1,0,0,0,1,0
Vivia,1,1,0,0,0,1
Siddhartha,1,1,1,0,0,0
Marlowe,1,0,1,0,0,0
Arleta,1,1,1,1,0,1
Letta,1,1,0,0,0,1
Vivian,0,0,1,0,0,1
Leif,0,0,0,0,0,0
Englebert,0,0,1,1,0,0
Vaughan,0,0,1,0,0,0
Cesya,1,1,0,0,1,1
Nick,0,0,0,0,0,0
Nerita,1,1,1,0,0,1
Tibold,0,0,1,0,0,0
Fleming,0,0,1,0,0,0
Andie,1,0,0,1,0,1
Binky,0,0,0,0,1,0
Brigitta,1,1,1,0,0,1
Lesli,1,0,0,0,0,1
Emmit,0,0,0,1,0,0
Bryant,0,0,1,0,1,0
Elicia,1,1,1,1,0,1
Guthry,0,0,1,0,1,0
Jillene,1,0,1,0,0,1
Aleck,0,0,0,1,0,0
Charin,0,0,1,0,0,1
Denny,0,0,0,0,1,1
Marchelle,1,0,1,0,0,1
Tallie,1,0,1,0,0,0
Lurlene,1,0,1,0,0,1
Guillema,1,1,1,0,0,1
Lorilee,1,0,1,0,0,1
Barnie,1,0,1,0,0,0
Carma,1,1,0,0,0,1
Rhodie,1,0,1,0,0,1
Idaline,1,0,1,1,0,1
Saw,0,0,0,0,0,0
Helsa,1,1,0,0,0,1
Angeline,1,0,1,1,0,1
Duane,1,0,0,0,0,0
Flin,0,0,0,0,0,0
Correy,0,0,1,0,1,1
Joete,1,0,0,0,0,1
Cilka,1,1,0,0,0,1
Teodorico,0,0,1,0,0,0
Ardys,0,0,0,1,1,1
Jens,0,0,0,0,0,0
Neal,0,0,0,0,0,0
Adoree,1,0,1,1,0,1
Leisha,1,1,1,0,0,1
Wiley,0,0,0,0,1,0
Alana,1,1,0,1,0,1
Maribel,0,0,1,0,0,1
Kial,0,0,0,0,0,1
Kin,0,0,0,0,0,0
Grove,1,0,0,0,0,0
Krysta,1,1,1,0,1,1
Evey,0,0,0,1,1,1
Sturgis,0,0,1,0,0,0
Marglerite,1,0,1,0,0,1
Lucia,1,1,0,0,0,1
Larissa,1,1,1,0,0,1
Daffi,1,0,0,0,0,1
Sutherland,0,0,1,0,0,0
Millicent,0,0,1,0,0,0
Barry,0,0,0,0,1,0
Gwenette,1,0,1,0,0,1
Nichole,1,0,1,0,0,0
Talbert,0,0,1,0,0,0
Caty,0,0,0,0,1,1
Julie,1,0,0,0,0,0
Myrtle,1,0,1,0,1,1
Shanta,1,1,1,0,0,1
Jeremias,0,0,1,0,0,0
Daphne,1,0,1,0,0,1
Maxy,0,0,0,0,1,1
Stanford,0,0,1,0,0,0
Georgetta,1,1,1,0,0,1
Donal,0,0,0,0,0,0
Benedikta,1,1,1,0,0,1
Hanny,0,0,0,0,1,1
Somerset,0,0,1,0,0,0
Sapphire,1,0,1,0,0,1
Madeleine,1,0,1,0,0,1
Rosamund,0,0,1,0,0,1
Enrico,0,0,1,1,0,0
Deanne,1,0,1,0,0,1
Tommy,0,0,0,0,1,1
Henry,0,0,0,0,1,0
Waiter,0,0,1,0,0,0
Secunda,1,1,1,0,0,1
Hansel,0,0,1,0,0,0
Sissie,1,0,1,0,0,1
Warner,0,0,1,0,0,0
Staci,1,0,0,0,0,1
Sergent,0,0,1,0,0,0
Anna-Diana,1,1,1,1,0,1
Ora,1,1,0,1,0,1
Leandra,1,1,1,0,0,1
Lettie,1,0,1,0,0,1
Essy,0,0,0,1,1,1
Costa,1,1,0,0,0,0
Arabella,1,1,1,1,0,1
Aleta,1,1,0,1,0,1
Jennings,0,0,1,0,0,0
Beck,0,0,0,0,0,0
Anatole,1,0,1,1,0,0
Karel,0,0,0,0,0,0
Lionello,0,0,1,0,0,0
Gustavo,0,0,1,0,0,0
Christabelle,1,0,1,0,0,1
Hazel,0,0,0,0,0,0
Montague,1,0,1,0,0,0
Reggy,0,0,0,0,1,0
Prentice,1,0,1,0,0,0
Delores,0,0,1,0,0,1
Sheril,0,0,1,0,0,1
Giancarlo,0,0,1,0,0,0
Wilhelmine,1,0,1,0,0,1
Clarita,1,1,1,0,0,1
Moises,0,0,1,0,0,0
Elaina,1,1,1,1,0,1
Wilber,0,0,1,0,0,0
Rafael,0,0,1,0,0,0
Odilia,1,1,1,1,0,1
Myra,1,1,0,0,1,1
Orren,0,0,0,1,0,0
Liz,0,0,0,0,0,1
Hyacinthie,1,0,1,0,1,1
Stace,1,0,0,0,0,1
Ezekiel,0,0,1,1,0,0
Carree,1,0,1,0,0,1
Alecia,1,1,1,1,0,1
Clarke,1,0,1,0,0,0
Oran,0,0,0,1,0,0
Samuele,1,0,1,0,0,0
Didi,1,0,0,0,0,1
Regan,0,0,0,0,0,0
Collette,1,0,1,0,0,1
Garrett,0,0,1,0,0,0
Veradis,0,0,1,0,0,1
Sissy,0,0,0,0,1,1
Antonio,0,0,1,1,0,0
Celestina,1,1,1,0,0,1
Nomi,1,0,0,0,0,1
Kelli,1,0,0,0,0,1
Gwynne,1,0,1,0,1,1
Dana,1,1,0,0,0,1
Ishmael,0,0,1,1,0,0
Bobby,0,0,0,0,1,0
Xymenes,0,0,1,0,1,0
Evita,1,1,0,1,0,1
Carol,0,0,0,0,0,1
Tandi,1,0,0,0,0,1
Barbabas,0,0,1,0,0,0
Ag,0,0,0,1,0,1
Vern,0,0,0,0,0,0
Teador,0,0,1,0,0,0
Sylvie,1,0,1,0,1,1
Sherilyn,0,0,1,0,1,1
Virge,1,0,0,0,0,0
Dalila,1,1,1,0,0,1
Clarence,1,0,1,0,0,0
Annamaria,1,1,1,1,0,1
Quinton,0,0,1,0,0,0
Sarge,1,0,0,0,0,0
Stuart,0,0,1,0,0,0
Ian,0,0,0,1,0,0
Trenton,0,0,1,0,0,0
Cristin,0,0,1,0,0,1
Hilliard,0,0,1,0,0,0
Teriann,0,0,1,0,0,1
Redmond,0,0,1,0,0,0
Winton,0,0,1,0,0,0
