Name,EndsVowel,EndsA,LenGt5,StartsVowel,HasY,IsFemale
Emma,1,1,0,1,0,1
Liam,0,0,0,0,0,0
Olivia,1,1,1,1,0,1
Noah,0,0,0,0,0,0
Sophia,1,1,1,0,0,1
Jackson,0,0,1,0,0,0
Mia,1,1,0,0,0,1
Aiden,0,0,0,1,0,0
Amelia,1,1,1,1,0,1
Lucas,0,0,0,0,0,0
Harper,0,0,1,0,0,1
Oliver,0,0,1,1,0,0
Evelyn,0,0,1,1,1,1
Ethan,0,0,0,1,0,0
Abigail,0,0,1,1,0,1
James,0,0,0,0,0,0
Emily,1,0,0,1,1,1
Alexander,0,0,1,1,0,0
Elizabeth,0,0,1,1,0,1
Michael,0,0,1,0,0,0
Chloe,1,0,0,0,0,1
Daniel,0,0,1,0,0,0
Ella,1,1,0,1,0,1
Matthew,0,0,1,0,0,0
Isabella,1,1,1,1,0,1
Henry,1,0,0,0,1,0
Piyush,0,0,1,0,1,0
David,0,0,0,0,0,0
Sarah,0,0,0,0,0,1
Anthony,1,0,1,1,1,0
Priyanshi,1,0,1,0,1,1
Kalu,1,0,0,0,0,0
